country,iso3,date,edu
Germany,DEU,2003-01-01,4.17101860046387
France,FRA,2003-01-01,5.76206302642822
United States,USA,2004-01-01,6.2537636756897
United Kingdom,GBR,2004-01-01,4.73554992675781
Japan,JPN,2004-01-01,3.42611002922058
Italy,ITA,2004-01-01,4.38520002365112
Germany,DEU,2004-01-01,4.10064888000488
France,FRA,2004-01-01,5.54923391342163
United States,USA,2005-01-01,6.17098331451416
United Kingdom,GBR,2005-01-01,4.92976999282837
Japan,JPN,2005-01-01,3.31493997573853
Italy,ITA,2005-01-01,4.23829984664917
Germany,DEU,2005-01-01,4.10731077194214
France,FRA,2005-01-01,5.51722764968872
Canada,CAN,2005-01-01,4.76588010787964
United States,USA,2006-01-01,6.16402912139893
United Kingdom,GBR,2006-01-01,4.97649002075195
Japan,JPN,2006-01-01,3.27667999267578
Italy,ITA,2006-01-01,4.52545022964478
Germany,DEU,2006-01-01,4.02527379989624
France,FRA,2006-01-01,5.47531032562256
United States,USA,2007-01-01,6.24331855773926
United Kingdom,GBR,2007-01-01,4.9244499206543
Japan,JPN,2007-01-01,3.27934002876282
Italy,ITA,2007-01-01,4.10503005981445
Germany,DEU,2007-01-01,3.92246603965759
France,FRA,2007-01-01,5.30452871322632
Canada,CAN,2007-01-01,4.7664098739624
United States,USA,2008-01-01,6.43608617782593
United Kingdom,GBR,2008-01-01,4.90973997116089
Japan,JPN,2008-01-01,3.27241992950439
Italy,ITA,2008-01-01,4.38794994354248
Germany,DEU,2008-01-01,4.54924011230469
France,FRA,2008-01-01,5.38727569580078
Canada,CAN,2008-01-01,4.62612009048462
United States,USA,2009-01-01,6.73869848251343
United Kingdom,GBR,2009-01-01,5.06263017654419
Japan,JPN,2009-01-01,3.5559778213501
Italy,ITA,2009-01-01,4.52371978759766
Germany,DEU,2009-01-01,4.34005403518677
France,FRA,2009-01-01,5.66921901702881
Canada,CAN,2009-01-01,4.84057998657227
United States,USA,2010-01-01,6.6945538520813
United Kingdom,GBR,2010-01-01,5.69867992401123
Japan,JPN,2010-01-01,3.59951996803284
Italy,ITA,2010-01-01,4.33411979675293
Germany,DEU,2010-01-01,5.09588003158569
France,FRA,2010-01-01,5.64279174804688
Canada,CAN,2010-01-01,5.356369972229
United States,USA,2011-01-01,6.49768352508545
United Kingdom,GBR,2011-01-01,5.57218980789185
Japan,JPN,2011-01-01,3.60527992248535
Italy,ITA,2011-01-01,4.11568021774292
Germany,DEU,2011-01-01,4.98425006866455
France,FRA,2011-01-01,5.48011541366577
Canada,CAN,2011-01-01,5.26205015182495
United States,USA,2012-01-01,6.25388622283936
United Kingdom,GBR,2012-01-01,5.57887411117554
Japan,JPN,2012-01-01,3.41945004463196
Italy,ITA,2012-01-01,4.05601978302002
Germany,DEU,2012-01-01,4.92844009399414
France,FRA,2012-01-01,5.48835611343384
Canada,CAN,2012-01-01,4.69258737564087
United States,USA,2013-01-01,6.22925806045532
United Kingdom,GBR,2013-01-01,5.52530002593994
Japan,JPN,2013-01-01,3.40875005722046
